,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0,3,"Augustsson, Mr. Albert",male,23.0,0,0,347468,7.8542,,S
1,0,3,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",female,39.0,1,5,347082,31.275,,S
2,1,2,"Slayter, Miss. Hilda Mary",female,30.0,0,0,234818,12.35,,Q
3,1,1,"Seward, Mr. Frederic Kimber",male,34.0,0,0,113794,26.55,,S
4,1,2,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,28.0,1,0,P/PP 3381,24.0,,C
5,0,3,"Stoytcheff, Mr. Ilia",male,19.0,0,0,349205,7.8958,,S
6,1,1,"Serepeca, Miss. Augusta",female,30.0,0,0,113798,31.0,,C
7,1,3,"Lang, Mr. Fang",male,26.0,0,0,1601,56.4958,,S
8,0,1,"Ross, Mr. John Hugo",male,36.0,0,0,13049,40.125,A10,C
9,0,3,"Attalah, Mr. Sleiman",male,30.0,0,0,2694,7.225,,C
10,0,3,"Hanna, Mr. Mansour",male,23.5,0,0,2693,7.2292,,C
11,0,3,"Danoff, Mr. Yoto",male,27.0,0,0,349219,7.8958,,S
12,0,3,"Hakkarainen, Mr. Pekka Pietari",male,28.0,1,0,STON/O2. 3101279,15.85,,S
13,0,1,"Artagaveytia, Mr. Ramon",male,71.0,0,0,PC 17609,49.5042,,C
14,0,3,"Hagland, Mr. Ingvald Olai Olsen",male,,1,0,65303,19.9667,,S
15,0,3,"Sage, Miss. Stella Anna",female,,8,2,CA. 2343,69.55,,S
16,0,3,"Skoog, Miss. Margit Elizabeth",female,2.0,3,2,347088,27.9,,S
17,0,2,"Harper, Rev. John",male,28.0,0,1,248727,33.0,,S
18,1,2,"Davis, Miss. Mary",female,28.0,0,0,237668,13.0,,S
19,0,3,"Odahl, Mr. Nils Martin",male,23.0,0,0,7267,9.225,,S
20,0,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294,7.925,,S
21,0,3,"Williams, Mr. Howard Hugh ""Harry""",male,,0,0,A/5 2466,8.05,,S
22,0,3,"Hegarty, Miss. Hanora ""Nora""",female,18.0,0,0,365226,6.75,,Q
23,1,3,"Ayoub, Miss. Banoura",female,13.0,0,0,2687,7.2292,,C
24,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0,1,4579,8.4042,,S
25,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,D10 D12,C
26,1,1,"Bowerman, Miss. Elsie Edith",female,22.0,0,1,113505,55.0,E33,S
27,0,1,"Hoyt, Mr. William Fisher",male,,0,0,PC 17600,30.6958,,C
28,1,1,"Silverthorne, Mr. Spencer Victor",male,35.0,0,0,PC 17475,26.2875,E24,S
29,0,3,"Olsson, Mr. Nils Johan Goransson",male,28.0,0,0,347464,7.8542,,S
30,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0,1,0,110813,75.25,D37,C
31,0,3,"Pettersson, Miss. Ellen Natalia",female,18.0,0,0,347087,7.775,,S
32,0,3,"Cor, Mr. Liudevit",male,19.0,0,0,349231,7.8958,,S
33,0,3,"Davies, Mr. Alfred J",male,24.0,2,0,A/4 48871,24.15,,S
34,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,1,0,PC 17604,82.1708,,C
35,0,3,"Flynn, Mr. John",male,,0,0,368323,6.95,,Q
36,1,2,"Wells, Miss. Joan",female,4.0,1,1,29103,23.0,,S
37,0,3,"Saad, Mr. Amin",male,,0,0,2671,7.2292,,C
38,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F33,S
39,0,3,"Eklund, Mr. Hans Linus",male,16.0,0,0,347074,7.775,,S
40,0,3,"Beavan, Mr. William Thomas",male,19.0,0,0,323951,8.05,,S
41,0,2,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",female,44.0,1,0,244252,26.0,,S
42,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,STON/O2. 3101279,15.85,,S
43,0,3,"Ali, Mr. Ahmed",male,24.0,0,0,SOTON/O.Q. 3101311,7.05,,S
44,0,2,"Downton, Mr. William James",male,54.0,0,0,28403,26.0,,S
45,0,3,"McEvoy, Mr. Michael",male,,0,0,36568,15.5,,Q
46,0,3,"Lindell, Mr. Edvard Bengtsson",male,36.0,1,0,349910,15.55,,S
47,1,2,"Leitch, Miss. Jessie Wills",female,,0,0,248727,33.0,,S
48,1,3,"Johnson, Master. Harold Theodor",male,4.0,1,1,347742,11.1333,,S
49,1,1,"Homer, Mr. Harry (""Mr E Haven"")",male,35.0,0,0,111426,26.55,,C
50,0,3,"Reed, Mr. James George",male,,0,0,362316,7.25,,S
51,1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0,1,1,248738,29.0,,S
52,0,1,"Farthing, Mr. John",male,,0,0,PC 17483,221.7792,C95,S
53,0,3,"Sadlier, Mr. Matthew",male,,0,0,367655,7.7292,,Q
54,0,1,"Thayer, Mr. John Borland",male,49.0,1,1,17421,110.8833,C68,C
55,1,1,"Young, Miss. Marie Grice",female,36.0,0,0,PC 17760,135.6333,C32,C
56,0,1,"Robbins, Mr. Victor",male,,0,0,PC 17757,227.525,,C
57,0,3,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068,7.775,,S
58,0,3,"Corn, Mr. Harry",male,30.0,0,0,SOTON/OQ 392090,8.05,,S
59,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,,S
60,0,3,"Gallagher, Mr. Martin",male,25.0,0,0,36864,7.7417,,Q
